,IMDB.Rating,IMDB.Votes,Language,Runtime,budget,actor_popularity,director_popularity,released_on_weekend,released_not_on_dump_month,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Mystery,Romance,Thriller,Other_genre,G,NC-17,PG,PG-13,R,UNRATED,revenue
0,0.7820512820512822,0.7961393409972523,0.05555555555555555,0.24999999999999997,0.7825549848015361,0.289031665463825,0.06857462880993295,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,7.811727759512962
1,0.8589743589743591,0.8715496437199366,0.4444444444444444,0.24285714285714285,0.8811439959169096,0.17859450109386382,0.07261485853032523,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,7.844848255073099
2,0.6794871794871796,0.7234148800798335,0.05555555555555555,0.15357142857142855,0.8902728108538842,0.21087528082630125,6.17678395448823e-05,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,7.157572353057463
3,0.06410256410256412,0.5283305189937106,0.0,0.17857142857142858,0.8695979343775568,0.17483247253754136,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.8675028428227956
4,0.5128205128205129,0.8127768103721487,0.0,0.2607142857142857,0.9084495872875,0.08509455320394137,0.12184222748022527,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,8.359339065650202
5,0.6666666666666669,0.511503378374961,0.0,0.2071428571428571,0.7148874754633083,0.04986331319567093,0.00040565545539288095,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5.661085414268822
6,0.7820512820512822,0.7450810202710101,0.0,0.27142857142857146,0.7747741752515214,0.26512229132544635,0.06545471990916729,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,7.398031322515291
7,0.6410256410256412,0.7796869558069123,0.22222222222222224,0.17857142857142858,0.9262592574762456,0.2727593422286522,0.1373763393859597,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8.411657129425262
8,0.42307692307692313,0.5581020695090374,0.0,0.16428571428571428,0.8456530334726933,0.17758532311550423,0.003206330570549615,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.580762831602132
9,0.7692307692307694,0.5929692951949823,0.0,0.2214285714285714,0.6830744209562387,0.0813369324549287,0.009215068687570008,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6.963787827345556
10,0.7564102564102565,0.8467874275518175,0.16666666666666666,0.27142857142857146,0.9148753241853678,0.246052381766376,0.15708914225326678,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8.664626134799022
11,0.730769230769231,0.842125233853201,0.2777777777777778,0.3035714285714286,0.9313543387787331,0.5779669608675145,0.20280260744239167,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8.599719375496342
12,0.7051282051282053,0.7835267510513351,0.0,0.15,0.8849319742912611,0.26758563991790896,2.658615747401505e-05,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.535796809119885
13,0.8333333333333335,0.798060626245172,0.05555555555555555,0.21071428571428572,0.8636868294405051,0.24060575922144073,2.598646971135876e-06,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,8.09550548733651
14,0.6282051282051283,0.6716722987855296,0.05555555555555555,0.2964285714285714,0.7990339993949014,0.41268871152431985,0.00017590841035433624,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,6.9437080492309535
15,0.7692307692307694,0.8624287148664558,0.1111111111111111,0.3107142857142857,0.9084495872875,0.24739144564101717,0.0686726444431266,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8.583800998222564
